"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Text Description","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Text Description","Region 6 Latitude","Region 6 Longitude"
"Argentina","Cuyo",,"-32,398516","-68,225098","La Rioja","-29,414479","-66,854897","Famatina","-28,916019","-67,516479",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Agrelo","-33,106497","-68,885651",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Barrancas","-33,090391","-68,716736",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Las Compuertas","-33,01327","-68,985901",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Lujan de Cuyo","-33,049622","-68,867798",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Lunlunta","-33,033329","-68,816681",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Maipu","-32,96722","-68,782661",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Perdriel","-33,068528","-68,889771",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","San Martin","-33,040903","-68,477783",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","San Rafael","-34,551811","-68,356934",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Uco Valley","-33,555129","-69,016113","La Consulta","-33,73352","-69,117737",,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Uco Valley","-33,555129","-69,016113","San Carlos","-33,770586","-69,022293",,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Uco Valley","-33,555129","-69,016113","Tunuyan","-33,571167","-69,013214",,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Uco Valley","-33,555129","-69,016113","Tupungato","-33,348885","-69,132843",,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Uco Valley","-33,555129","-69,016113","Vista Flores","-33,624912","-69,151382",,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Ugarteche","-33,216287","-68,89389",,,,,,,,,,,
