"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Text Description","Region 6 Latitude","Region 6 Longitude"
"Canada","Alberta",,"52,05249","-113,378906",,,,,,,,,,,,,,,,
"Canada","British Columbia",,"53,916472","-122,739944",,,,,,,,,,,,,,,,
"Canada","British Columbia",,"53,916472","-122,739944","Fraser Valley","49,17093","-121,953735",,,,,,,,,,,,,
"Canada","British Columbia",,"53,916472","-122,739944","Gulf Islands","49,239121","-123,563232",,,,,,,,,,,,,
"Canada","British Columbia",,"53,916472","-122,739944","Okanagan Valley","49,879371","-119,513054","Black Sage - Osoyoos","49,077014","-119,501038",,,,,,,,,,
"Canada","British Columbia",,"53,916472","-122,739944","Okanagan Valley","49,879371","-119,513054","Golden Mile","49,107815","-119,570732",,,,,,,,,,
"Canada","British Columbia",,"53,916472","-122,739944","Okanagan Valley","49,879371","-119,513054","Kelowna","49,884017","-119,492798",,,,,,,,,,
"Canada","British Columbia",,"53,916472","-122,739944","Okanagan Valley","49,879371","-119,513054","Naramata","49,597602","-119,593612",,,,,,,,,,
"Canada","British Columbia",,"53,916472","-122,739944","Okanagan Valley","49,879371","-119,513054","Okanagan Falls","49,333736","-119,560604",,,,,,,,,,
"Canada","British Columbia",,"53,916472","-122,739944","Similkameen Valley","49,101746","-119,730377",,,,,,,,,,,,,
"Canada","British Columbia",,"53,916472","-122,739944","Vancouver Island","49,567978","-125,639648",,,,,,,,,,,,,
"Canada","Manitoba",,"51,658927","-98,305664",,,,,,,,,,,,,,,,
"Canada","New Brunswick",,"46,860191","-67,324219",,,,,,,,,,,,,,,,
"Canada","Newfoundland and Labrador",,"53,120405","-59,941406",,,,,,,,,,,,,,,,
"Canada","Nova Scotia",,"44,645208","-63,588867",,,,,,,,,,,,,,,,
"Canada","Ontario",,"48,806863","-83,144531",,,,,,,,,,,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Lake Erie North Shore","42,143042","-82,694092",,,,,,,,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Niagara Peninsula","43,036776","-79,453125","Creek Shores","43,172134","-79,322662",,,,,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Niagara Peninsula","43,036776","-79,453125","Lincoln Lakeshore","43,19116","-79,477844",,,,,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Niagara Peninsula","43,036776","-79,453125","Niagara Escarpment - Ontario","43,142581","-79,383087",,,,,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Niagara Peninsula","43,036776","-79,453125","Niagara Escarpment - Ontario","43,142581","-79,383087","Beamsville Bench","43,150597","-79,478531",,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Niagara Peninsula","43,036776","-79,453125","Niagara Escarpment - Ontario","43,142581","-79,383087","Short Hills Bench","43,126547","-79,287643",,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Niagara Peninsula","43,036776","-79,453125","Niagara Escarpment - Ontario","43,142581","-79,383087","Twenty Mile Bench","43,139074","-79,375191",,,,,,,
