"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Latitude","Region 6 Longitude"
,"Alsace",,"48,088171","7,355347",,,,,,,,,,,,,,,
,,,,,"Alsace Grand Cru","48,063397","7,349854",,,,,,,,,,,,
,,,,,,,,"Bas-Rhin","48,246626","7,44873",,,,,,,,,
,,,,,,,,,,,"Altenberg de Bergbieten","48,576153","7,45903",,,,,,
,,,,,,,,,,,"Altenberg de Wolxheim","48,570701","7,484436",,,,,,
,,,,,,,,,,,"Bruderthal","48,54116","7,485809",,,,,,
,,,,,,,,,,,"Engelberg","48,588417","7,511902",,,,,,
,,,,,,,,,,,"Frankstein","48,32156","7,413712",,,,,,
,,,,,,,,,,,"Kastelberg","48,387494","7,422295",,,,,,
,,,,,,,,,,,"Kirchberg de Barr","48,410517","7,45079",,,,,,
,,,,,,,,,,,"Moenchberg","48,384758","7,440491",,,,,,
,,,,,,,,,,,"Muenchberg","48,353511","7,418175",,,,,,
,,,,,,,,,,,"Praelatenberg","48,258056","7,395172",,,,,,
,,,,,,,,,,,"Steinklotz","48,625647","7,498169",,,,,,
,,,,,,,,,,,"Wiebelsberg","48,384758","7,440834",,,,,,
,,,,,,,,,,,"Winzenberg","48,344841","7,420578",,,,,,
,,,,,,,,,,,"Zotzenberg","48,398576","7,438169",,,,,,
,,,,,,,,"Haut-Rhin","48,070738","7,349854",,,,,,,,,
,,,,,,,,,,,"Altenberg de Bergheim","48,204083","7,3629",,,,,,
,,,,,,,,,,,"Brand","48,090464","7,279816",,,,,,
,,,,,,,,,,,"Eichberg","48,044579","7,301445",,,,,,
,,,,,,,,,,,"Florimont","48,09505","7,323074",,,,,,
,,,,,,,,,,,"Froehn","48,170207","7,316895",,,,,,
,,,,,,,,,,,'Furstentum","48,149138","7,298012",,,,,,
,,,,,,,,,,,"Geisberg","48,195845","7,327881",,,,,,
,,,,,,,,,,,"Gloeckelberg","48,230047","7,347279",,,,,,
,,,,,,,,,,,"Goldert","48,001868","7,266769",,,,,,
,,,,,,,,,,,"Hatschbourg","48,021621","7,305908",,,,,,
,,,,,,,,,,,"Hengst","48,077161","7,281876",,,,,,
,,,,,,,,,,,"Kaefferkopf","48,123934","7,288742",,,,,,
,,,,,,,,,,,"Kanzlerberg","48,215752","7,34848",,,,,,
,,,,,,,,,,,"Kessler","47,915652","7,219734",,,,,,
,,,,,,,,,,,"Kirchberg de Ribeauville","48,19493","7,327881",,,,,,
,,,,,,,,,,,"Kitterle","47,915882","7,205658",,,,,,
,,,,,,,,,,,"Mambourg","48,131268","7,296295",,,,,,
,,,,,,,,,,,"Mandelberg","48,153719","7,321701",,,,,,
,,,,,,,,,,,"Marckrain","48,143182","7,333374",,,,,,
,,,,,,,,,,,"Ollwiller","47,873526","7,227631",,,,,,
,,,,,,,,,,,"Osterberg","48,195845","7,35054",,,,,,
,,,,,,,,,,,"Pfersigberg","48,060184","7,296982",,,,,,
,,,,,,,,,,,"Pfingstberg","47,939347","7,23175",,,,,,
,,,,,,,,,,,"Rangen","47,811368","7,111845",,,,,,
,,,,,,,,,,,"Rosacker","48,180967","7,307968",,,,,,
,,,,,,,,,,,"Saering","47,91197","7,227287",,,,,,
,,,,,,,,,,,"Schlossberg","48,139516","7,246857",,,,,,
,,,,,,,,,,,"Schoenenbourg","48,169749","7,310028",,,,,,
,,,,,,,,,,,"Sommerberg","48,101012","7,285995",,,,,,
,,,,,,,,,,,"Sonnenglanz","48,163337","7,320328",,,,,,
,,,,,,,,,,,"Spiegel","47,922324","7,222137",,,,,,
,,,,,,,,,,,"Sporen","48,164482","7,309685",,,,,,
,,,,,,,,,,,"Steinert","47,987624","7,273636",,,,,,
,,,,,,,,,,,"Steingrubler","48,067068","7,288742",,,,,,
,,,,,,,,,,,"Vorbourg","47,960962","7,298355",,,,,,
,,,,,,,,,,,"Wineck-Schlossberg","48,102387","7,295609",,,,,,
,,,,,,,,,,,"Zinnkoepfle","47,958663","7,257156",,,,,,
,,,,,"Clos Vineyards-Alsace","48,074409","7,355347",,,,,,,,,,,,
