"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Latitude","Region 6 Longitude"
,"Abruzzo [Abruzzi]",,"42,192012","13,728917",,,,,,,,,,,,,,,
,,,,,"Abruzzo DOCG","42,192012","13,728917",,,,,,,,,,,,
,,,,,,,,"Montepulciano d'Abruzzo Colline Teramane","42,674359","13,699951",,,,,,,,,
,,,,,"Cerasuolo d'Abruzzo","42,366662","14,161377",,,,,,,,,,,,
,,,,,"Controguerra","42,855648","13,818611",,,,,,,,,,,,
,,,,,"Montepulciano d'Abruzzo","42,366662","14,161377",,,,,,,,,,,,
,,,,,,,,"Montepulciano d'Abruzzo Alto Tirino","42,326062","13,761063",,,,,,,,,
,,,,,,,,"Montepulciano d'Abruzzo Casauria","42,236398","13,898735",,,,,,,,,
,,,,,,,,"Montepulciano d'Abruzzo Teate","42,354485","14,397583",,,,,,,,,
,,,,,,,,"Montepulciano d'Abruzzo Terre dei Peligni","42,066626","13,969803",,,,,,,,,
,,,,,,,,"Montepulciano d'Abruzzo Terre dei Vestini","42,436887","13,983879",,,,,,,,,
,,,,,,,,"Montepulciano d'Abruzzo Terre di Casauria","42,236398","13,898735",,,,,,,,,
,,,,,"Terre Tollesi - Tullum","42,34738","14,316216",,,,,,,,,,,,
,,,,,"Trebbiano d'Abruzzo","42,366662","14,161377",,,,,,,,,,,,
,"Aosta Valley [Valle d'Aosta]",,45735,"7,313234",,,,,,,,,,,,,,,
,,,,,"Arnad-Montjovet","45,682199","7,661591",,,,,,,,,,,,
,,,,,"Chambave","45,74836","7,580566",,,,,,,,,,,,
,,,,,"Donnas","45,599627","7,7948",,,,,,,,,,,,
,,,,,"Enfer d'Arvier","45,708097","7,157593",,,,,,,,,,,,
,,,,,"Morgex et de la Salle","45,760338","7,058029",,,,,,,,,,,,
,,,,,"Nus","45,740693","7,45697",,,,,,,,,,,,
,,,,,"Torrette","45,721522","7,273636",,,,,,,,,,,,
,"Basilicata",,"40,643077","15,969988",,,,,,,,,,,,,,,
,,,,,"Aglianico del Vulture","40,961234","15,695343",,,,,,,,,,,,
,,,,,"Basilicata DOCG","40,643077","15,969988",,,,,,,,,,,,
,,,,,,,,"Aglianico del Vulture Superiore","40,961234","15,695343",,,,,,,,,
,,,,,"Grottino di Roccanova","40,216635","16,216507",,,,,,,,,,,,
,,,,,"Matera","40,521107","16,442413",,,,,,,,,,,,
,,,,,"Terre dell'Alta Val d'Agri","40,309902","15,869751",,,,,,,,,,,,
,"Calabria",,"38,393339","16,149902",,,,,,,,,,,,,,,
,,,,,"Bivongi","38,430194","16,449966",,,,,,,,,,,,
,,,,,"Ciro","39,385264","17,072754",,,,,,,,,,,,
,,,,,"Donnici","39,247676","16,34285",,,,,,,,,,,,
,,,,,"Greco di Bianco","38,099442","16,143036",,,,,,,,,,,,
,,,,,"Lamezia","38,925229","16,303711",,,,,,,,,,,,
,,,,,"Melissa","39,225339","16,997223",,,,,,,,,,,,
,,,,,"Pollino","39,808536","16,193848",,,,,,,,,,,,
,,,,,"S.Anna di Isola Capo Rizzuto","38,980763","17,045288",,,,,,,,,,,,
,,,,,"San Vito di Luzzi","39,465885","16,284485",,,,,,,,,,,,
,,,,,"Savuto","39,147103","16,254272",,,,,,,,,,,,
,,,,,"Scavigna","39,020251","16,136169",,,,,,,,,,,,
,,,,,"Verbicaro","39,780047","15,899963",,,,,,,,,,,,
,"Campania",,"40,917664","14,798584",,,,,,,,,,,,,,,
,,,,,"Aversa Asprinio","40,961234","14,208069",,,,,,,,,,,,
,,,,,"Campania DOCG","40,917664","14,798584",,,,,,,,,,,,
,,,,,,,,"Aglianico del Taburno","41,139882","14,672241",,,,,,,,,
,,,,,,,,"Fiano di Avellino","40,914749","14,792723",,,,,,,,,
,,,,,,,,"Greco di Tufo","41,017211","14,815063",,,,,,,,,
,,,,,,,,"Taurasi","41,00987","14,959537",,,,,,,,,
,,,,,"Campi Flegrei","40,843944","14,128418",,,,,,,,,,,,
,,,,,"Capri","40,552157","14,249268",,,,,,,,,,,,
,,,,,"Castel San Lorenzo","40,414542","15,231171",,,,,,,,,,,,
,,,,,"Cilento","40,187267","15,227051",,,,,,,,,,,,
,,,,,"Costa d'Amalfi","40,667619","14,624176",,,,,,,,,,,,
,,,,,,,,"Costa d'Amalfi Furore","40,622292","14,563751",,,,,,,,,
,,,,,,,,"Costa d'Amalfi Ravello","40,657722","14,59671",,,,,,,,,
,,,,,,,,"Costa d'Amalfi Tramonti","40,66814","14,646149",,,,,,,,,
,,,,,"Falanghina del Taburno",,,,,,,,,,,,,,
,,,,,"Falerno del Massico","41,188989","13,925171",,,,,,,,,,,,
,,,,,"Galluccio","41,376809","13,955383",,,,,,,,,,,,
,,,,,"Guardia Sanframondi - Guardiolo","41,256399","14,60031",,,,,,,,,,,,
,,,,,"Irpinia","40,946714","15,13916",,,,,,,,,,,,
,,,,,,,,"Irpinia Campi Taurasini","40,987673","14,990158",,,,,,,,,
,,,,,"Ischia","40,728007","13,946457",,,,,,,,,,,,
,,,,,"Penisola Sorrentina","40,626461","14,411316",,,,,,,,,,,,
,,,,,,,,"Penisola Sorrentina Gragnano",,,,,,,,,,,
,,,,,,,,"Penisola Sorrentina Lettere",,,,,,,,,,,
,,,,,,,,"Penisola Sorrentina Sorrento",,,,,,,,,,,
,,,,,"Sannio","41,13017","14,779505",,,,,,,,,,,,
,,,,,,,,"Falanghina del Sannio","41,137296","14,782104",,,,,,,,,
,,,,,,,,"Sannio Guardia Sanfranmondi - Guardiolo","41,260775","14,59877",,,,,,,,,
,,,,,,,,"Sannio Sant'Agata dei Goti",,,,,,,,,,,
,,,,,,,,"Sannio Solopaca","41,208622","14,558258",,,,,,,,,
,,,,,,,,"Sannio Taburno","41,157978","14,657135",,,,,,,,,
,,,,,"Sant'Agata dei Goti","41,133159","14,493713",,,,,,,,,,,,
,,,,,"Solopaca","41,203456","14,556885",,,,,,,,,,,,
,,,,,"Vesuvio","40,822124","14,425735",,,,,,,,,,,,
,"Emilia-Romagna",,"44,574817","11,315918",,,,,,,,,,,,,,,
,,,,,"Bosco Eliceo","44,69941","12,179718",,,,,,,,,,,,
,,,,,"Cagnina di Romagna","44,107371","11,981707",,,,,,,,,,,,
,,,,,"Colli Bolognesi","44,404477","11,250172",,,,,,,,,,,,
,,,,,,,,"Colli Bolognesi Colline Marconiane","44,417107","11,251373",,,,,,,,,
,,,,,,,,"Colli Bolognesi Colline di Oliveto","44,476421","11,313171",,,,,,,,,
,,,,,,,,"Colli Bolognesi Colline di Riosto","44,388654","11,34201",,,,,,,,,
,,,,,,,,"Colli Bolognesi Monte San Pietro","44,455349","11,12915",,,,,,,,,
,,,,,,,,"Colli Bolognesi Serravalle","44,435741","11,03302",,,,,,,,,
,,,,,,,,"Colli Bolognesi Terre di Montebudello","44,49124","11,084518",,,,,,,,,
,,,,,,,,"Colli Bolognesi Zola Predosa","44,489648","11,204681",,,,,,,,,
,,,,,"Colli Piacentini","44,921057","9,663849",,,,,,,,,,,,
,,,,,,,,"Colli Piacentini Monterosso Val d'Arda","44,873389","9,876709",,,,,,,,,
,,,,,,,,"Colli Piacentini Trebbianino Val Trebbia","44,871443","9,545746",,,,,,,,,
,,,,,,,,"Colli Piacentini Val Nure","44,961883","9,773712",,,,,,,,,
,,,,,,,,"Colli Piacentini Vigoleno","44,842725","9,96666",,,,,,,,,
,,,,,,,,"Gutturnio","44,922029","9,670715",,,,,,,,,
,,,,,"Colli d'Imola","44,359206","11,716919",,,,,,,,,,,,
,,,,,"Colli della Romagna Centrale","44,14871","12,019043",,,,,,,,,,,,
